,Delta Temperature[K],Rotational speed [rpm],Torque [Nm],Tool wear [min],label
0,11.400000000000034,1538,41.2,126,0
1,9.699999999999989,1514,43.5,78,0
2,10.199999999999989,1606,33.5,121,0
3,10.600000000000023,1313,50.8,170,0
4,8.5,1520,43.0,88,0
5,9.899999999999977,1565,52.3,183,0
6,9.699999999999989,1435,41.9,115,0
7,11.400000000000034,1415,55.8,82,0
8,8.800000000000011,1269,56.8,195,1
9,10.399999999999977,1498,49.4,5,0
10,11.0,1490,40.6,124,0
11,10.199999999999989,1389,48.1,88,0
12,10.5,1437,45.7,195,0
13,11.199999999999989,1711,30.3,148,0
14,11.0,1569,34.3,132,0
15,9.400000000000034,1321,48.8,150,0
16,10.800000000000011,1903,22.3,145,0
17,11.5,1439,49.9,17,0
18,11.199999999999989,1438,45.7,106,0
19,9.5,1358,60.4,102,0
20,9.5,1463,45.1,113,0
21,9.300000000000011,1424,46.5,185,0
22,10.0,1454,39.7,67,0
23,10.899999999999977,1754,29.4,123,0
24,11.600000000000023,1515,35.1,213,0
25,11.0,1412,49.1,219,0
26,9.300000000000011,1600,34.6,177,0
27,9.5,1624,29.8,160,0
28,11.400000000000034,1636,31.3,192,0
29,9.300000000000011,1673,27.8,181,0
30,9.099999999999966,1819,23.7,16,0
31,9.100000000000023,1506,35.6,63,0
32,9.399999999999977,1438,53.8,103,0
33,8.899999999999977,1593,34.5,102,0
34,10.600000000000023,1666,31.5,30,0
35,10.199999999999989,2090,19.0,143,0
36,10.799999999999955,1703,31.4,205,0
37,9.399999999999977,1608,31.4,86,0
38,8.900000000000034,1519,39.0,90,0
39,11.600000000000023,1502,39.8,177,0
40,11.299999999999955,1421,42.0,165,0
41,9.199999999999989,1825,25.2,29,0
42,9.199999999999989,1530,42.3,21,0
43,11.299999999999955,1583,38.2,150,0
44,8.199999999999989,1460,43.9,103,0
45,10.100000000000023,1576,27.4,55,0
46,11.100000000000023,1605,31.3,128,0
47,9.799999999999955,1677,31.1,191,0
48,9.400000000000034,1721,34.8,50,0
49,10.5,1471,40.7,26,0
50,11.300000000000011,1798,23.0,135,0
51,10.600000000000023,1454,40.0,140,0
52,9.100000000000023,1217,60.6,103,0
53,9.399999999999977,1667,30.0,160,0
54,9.300000000000011,1379,54.2,207,1
55,11.0,1387,57.6,50,0
56,8.100000000000023,1424,50.8,128,0
57,11.600000000000023,1583,32.0,166,0
58,11.099999999999966,1365,50.6,143,0
59,11.300000000000011,1617,32.5,115,0
60,9.5,1459,44.5,89,0
61,10.699999999999989,1605,32.0,79,0
62,9.5,1527,41.1,53,0
63,9.5,1493,35.9,10,0
64,9.0,1985,18.8,190,0
65,11.099999999999966,1510,45.5,27,0
66,11.199999999999989,1412,44.1,246,0
67,9.0,1666,27.2,40,0
68,12.0,1592,35.8,57,0
69,11.099999999999966,1725,26.8,167,0
70,10.800000000000011,1498,34.6,46,0
71,10.400000000000034,1491,35.9,148,0
72,8.5,1694,26.3,14,0
73,11.100000000000023,1692,28.3,136,0
74,9.699999999999989,1563,44.6,163,0
75,11.199999999999989,1863,26.0,110,0
76,10.200000000000045,1325,61.4,88,0
77,10.699999999999989,1374,48.1,159,0
78,11.0,1512,36.8,46,0
79,11.099999999999966,1424,50.8,182,0
80,11.100000000000023,1404,50.3,97,0
81,8.899999999999977,1429,47.9,53,0
82,7.900000000000034,1349,51.2,6,1
83,11.300000000000011,1364,54.0,43,0
84,11.099999999999966,1864,23.1,90,0
85,9.300000000000011,1725,34.0,170,0
86,9.199999999999989,1511,45.0,204,0
87,10.699999999999989,1538,34.3,181,0
88,8.0,1535,33.3,120,0
89,9.200000000000045,1473,42.8,97,0
90,10.800000000000011,1446,40.0,160,0
91,8.800000000000011,1902,23.4,188,0
92,11.100000000000023,1512,43.6,92,0
93,9.5,1524,36.3,98,0
94,9.799999999999955,1608,39.2,221,0
95,10.099999999999966,1379,46.7,204,0
96,10.399999999999977,1397,48.7,111,0
97,11.199999999999989,1460,42.1,41,0
98,11.0,1362,50.5,34,0
99,11.399999999999977,1730,27.5,209,0
100,11.5,1398,38.1,88,0
101,11.399999999999977,1466,39.0,125,0
102,11.100000000000023,1481,38.8,14,0
103,11.099999999999966,1531,35.6,16,0
104,10.100000000000023,1499,45.2,8,0
105,11.599999999999966,1474,42.3,64,0
106,10.5,1419,45.7,178,0
107,8.0,1447,46.6,169,0
108,8.600000000000023,1358,53.1,194,0
109,9.599999999999966,1760,23.9,76,0
110,8.300000000000011,1690,34.9,189,0
111,11.100000000000023,1501,44.7,48,0
112,8.099999999999966,1399,49.2,111,0
113,11.200000000000045,1543,36.6,20,0
114,10.0,1750,29.9,50,0
115,9.300000000000011,1416,48.5,110,0
116,9.099999999999966,1593,32.4,76,0
117,11.299999999999955,1369,54.5,104,0
118,9.800000000000011,1663,30.6,139,0
119,9.5,1366,47.3,162,0
120,11.0,1389,48.6,7,0
121,8.899999999999977,1549,40.6,66,0
122,11.5,1725,27.8,21,0
123,11.200000000000045,1504,43.0,4,0
124,9.5,1415,31.8,192,0
125,11.300000000000011,1349,48.9,120,0
126,9.800000000000011,1470,41.1,118,0
127,10.799999999999955,1507,38.3,170,0
128,10.800000000000011,1737,26.2,97,0
129,9.799999999999955,1628,33.0,15,0
130,9.699999999999989,1443,43.3,134,0
131,9.600000000000023,1282,66.1,40,0
132,9.0,1544,43.6,63,0
133,9.400000000000034,1493,38.4,132,0
134,9.399999999999977,1516,46.0,119,0
135,10.100000000000023,1501,36.7,4,0
136,9.800000000000011,1596,37.2,219,0
137,10.900000000000034,1737,26.1,144,0
138,9.600000000000023,2065,18.1,62,0
139,11.5,2015,20.1,161,0
140,9.300000000000011,1488,41.3,172,0
141,9.100000000000023,1681,27.4,212,0
142,10.900000000000034,1457,49.0,77,0
143,11.300000000000011,1636,34.4,2,0
144,8.399999999999977,1610,39.2,152,0
145,11.199999999999989,1427,50.4,98,0
146,10.699999999999989,1504,33.7,182,0
147,11.399999999999977,1490,42.2,3,0
148,11.199999999999989,1621,34.1,130,0
149,10.899999999999977,1578,35.6,153,0
150,8.899999999999977,1558,45.3,193,0
151,9.400000000000034,1576,36.6,7,0
152,9.399999999999977,1520,38.3,122,0
153,10.800000000000011,1501,42.1,162,0
154,9.399999999999977,1532,40.7,178,0
155,8.899999999999977,1599,37.0,211,0
156,11.199999999999989,1458,39.8,87,0
157,11.5,1449,43.2,80,0
158,11.600000000000023,1685,30.7,177,0
159,9.299999999999955,1397,46.9,82,0
160,9.0,1702,28.7,135,0
161,8.099999999999966,1636,35.0,38,0
162,11.200000000000045,1361,51.7,192,0
163,9.199999999999989,1511,41.0,33,0
164,10.800000000000011,1490,41.8,39,0
165,9.199999999999989,1432,45.3,33,0
166,12.0,1530,37.3,10,0
167,11.200000000000045,1483,44.3,219,0
168,11.300000000000011,1843,24.2,212,0
169,9.100000000000023,1638,31.9,137,0
170,9.199999999999989,1405,49.4,77,0
171,11.299999999999955,1594,33.3,147,0
172,11.299999999999955,1524,40.6,98,0
173,9.699999999999989,1460,46.7,166,0
174,10.600000000000023,1609,35.8,156,0
175,9.0,1316,51.8,197,0
176,11.700000000000045,1380,41.1,152,0
177,11.600000000000023,1748,28.5,184,0
178,11.100000000000023,1579,33.5,91,0
179,9.399999999999977,1539,36.1,76,0
180,11.399999999999977,1713,28.0,116,0
181,9.300000000000011,1399,41.8,125,0
182,10.799999999999955,1521,38.6,173,0
183,10.600000000000023,1645,31.1,169,0
